S.No,actual,pred,alive,plod,name,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
1763,1,1,0.825,0.175,Mad Huntsman,,1.0,,,,,,,Brotherhood without banners,,0.0,0.0,1.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0367892976588628,1
147,1,1,0.702,0.298,Sawwood,,1.0,,,,,,,Night's Watch,,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0100334448160535,1
1056,1,1,0.718,0.282,Gerold Grafton,Gulltown,1.0,,,,,,,House Grafton,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0234113712374581,1
946,1,1,0.796,0.204,Bryan Frey,,1.0,,281.0,,,,,House Frey,,0.0,1.0,1.0,1.0,0.0,,,,,0.0,0.0,24.0,0.0,0,0.0,0.100334448160535,1
1518,1,0,0.485,0.515,Hodor,,1.0,Northmen,,,,,,House Stark,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.244147157190635,1
1152,1,1,0.764,0.236,Kyra Frey,,0.0,,262.0,,,,,House Frey,Garse Goodbrook,0.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,43.0,0.0,0,0.0,0.0668896321070234,1
1921,1,0,0.138,0.862,Dunsen,,1.0,,,,,,,House Clegane,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.040133779264214,1
1645,1,1,1.0,0.0,Bael the Bard,King-Beyond-the-Wall,1.0,Free folk,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0,1
1923,1,1,0.985,0.015,Bethany Bolton,the Dreadfort,1.0,Northmen,,,,,,House Bolton,Roose Bolton,0.0,0.0,0.0,1.0,1.0,,,,1.0,1.0,1.0,,0.0,0,0.0,0.0434782608695652,1
1031,1,1,0.813,0.187,Erren Florent,Ser,1.0,,,,,,,House Florent,,0.0,1.0,1.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0869565217391304,1
1577,1,0,0.406,0.594,Nymeria Sand,,0.0,Dornishmen,274.0,,,,,House Martell,,0.0,0.0,1.0,1.0,1.0,,,,,0.0,0.0,31.0,0.06666666666666667,1,1.0,0.377926421404682,1
1732,0,0,0.11,0.89,Hugh,Ser,1.0,Valemen,,298.0,,,,House Arryn,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0635451505016722,0
1530,0,0,0.024,0.976,Jory Cassel,Captain of the guard,1.0,Northmen,,298.0,,,,House Cassel,,1.0,1.0,1.0,0.0,1.0,,,,,0.0,1.0,,0.06666666666666667,1,0.0,0.170568561872909,0
670,1,1,0.997,0.003,Kemmett Pyke,,0.0,Ironborn,,,,,,,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0100334448160535,1
1683,0,1,0.974,0.026,Domeric Bolton,,1.0,Northmen,279.0,297.0,,,,House Bolton,,0.0,1.0,0.0,1.0,1.0,,,,,0.0,0.0,18.0,0.0,0,0.0,0.0903010033444816,0
631,1,1,0.76,0.24,Squinty Jeyne,,0.0,,,,,,,House Osgrey,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0066889632107023,1
1171,1,1,0.834,0.166,Loreza Sand,,0.0,Dorne,293.0,,,,,House Martell,,0.0,0.0,1.0,1.0,1.0,,,,,0.0,0.0,12.0,0.06666666666666667,1,0.0,0.107023411371237,1
1931,1,0,0.146,0.854,Yohn Royce,Runestone,1.0,Valemen,,,,,,House Royce,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.13333333333333333,1,0.0,0.170568561872909,1
1888,1,1,0.736,0.264,Stonesnake,,1.0,,250.0,,,,,Night's Watch,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,55.0,0.0,0,0.0,0.0568561872909698,1
29,1,1,0.809,0.191,Wyl the Whittler,,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0066889632107023,1
241,1,1,0.954,0.046,Victor Tyrell,Ser,0.0,,,,,,,House Tyrell,,0.0,0.0,1.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.123745819397993,1
1313,1,0,0.485,0.515,Rhogoro,Khalakka,1.0,Dothraki,,,,,,,,1.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0100334448160535,1
1014,1,1,0.667,0.333,Elder Brother,Ser,1.0,,255.0,,,,,Faith of the Seven,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,50.0,0.0,0,0.0,0.0769230769230769,1
1681,0,1,0.783,0.217,Dick Crabb,,1.0,,,300.0,,,,House Crabb,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0702341137123745,0
1023,1,1,0.764,0.236,Elyana Vypren,,0.0,,264.0,,,,,House Vypren,Jon Wylde,0.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,41.0,0.0,0,0.0,0.160535117056856,1
571,0,1,0.666,0.334,Hali,,0.0,Free Folk,,298.0,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.020066889632107,0
1774,0,1,0.76,0.24,Mikken,,1.0,Northmen,,299.0,,,,House Stark,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0969899665551839,0
895,1,1,0.523,0.477,Alyn Stackspear,Ser,0.0,,,,,,,House Stackspear,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0267558528428093,1
666,0,0,0.12,0.88,Jyck,,1.0,,,298.0,,,,House Lannister,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0301003344481605,0
347,1,1,0.816,0.184,Bella,,0.0,,283.0,,,,,,,0.0,0.0,1.0,1.0,0.0,,,,,0.0,0.0,22.0,0.0,0,0.0,0.0836120401337792,1
1130,1,1,0.767,0.233,Jon Brax,,0.0,,296.0,,,,,House Brax,,0.0,1.0,1.0,1.0,0.0,,,,,0.0,0.0,9.0,0.0,0,0.0,0.113712374581939,1
466,1,1,0.817,0.183,Dorcas,,0.0,,,,,,,House Lannister,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.020066889632107,1
1601,1,1,0.73,0.27,Pylos,Maester,1.0,,273.0,,,,,,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,32.0,0.0,0,0.0,0.0568561872909698,1
1813,0,0,0.072,0.928,Shagwell,,1.0,,,300.0,,,,Brave Companions,,0.0,1.0,1.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0836120401337792,0
358,1,1,0.877,0.123,Bennarion Botley,,1.0,Ironborn,,,,,,House Botley,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0468227424749163,1
407,0,1,0.994,0.006,Cedric Payne,Ser,1.0,,,298.0,,,,House Payne,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0133779264214046,0
354,1,1,0.767,0.233,Benjen Stark (Sweet),,1.0,Northmen,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0133779264214046,1
1819,1,0,0.007,0.993,Tytos Blackwood,Raventree Hall,1.0,,,,,,,House Blackwood,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.220735785953177,1
330,0,0,0.01,0.99,Baelon Targaryen (son of Viserys I),Prince,1.0,Valyrian,105.0,105.0,,,,House Targaryen,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0,0.0,0.100334448160535,0
86,0,0,0.004,0.996,Rhaena Targaryen (daughter of Daemon),Lady,0.0,,116.0,,,,,House Targaryen,Corwyn Corbray,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,100.0,0.0,0,0.0,0.1438127090301,0
585,0,1,0.804,0.196,Harra,,0.0,,,299.0,,,,House Whent,,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0167224080267558,0
778,1,1,0.725,0.275,Merrell Florent,,1.0,,,,,,,House Florent,,0.0,1.0,1.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0668896321070234,1
403,1,1,0.99,0.01,Carrot,,0.0,,,,,,,House Royce of the Gates of the Moon,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0100334448160535,1
743,1,0,0.394,0.606,Malleon,Grand Maester,1.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0167224080267558,1
765,1,1,0.767,0.233,Meha,,0.0,Free Folk,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0066889632107023,1
1310,0,1,0.535,0.465,Rhea Royce,Runestone,0.0,,,115.0,,,,House Royce,Daemon Targaryen,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,1.0,,0.0,0,0.0,0.0936454849498327,0
1695,0,0,0.003,0.997,Falena Stokeworth,Harrenhal,1.0,,125.0,,,,,House Stokeworth,Lucas Lothston,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,100.0,0.0,0,0.0,0.0234113712374581,0
87,0,0,0.0,1.0,Rhaena Targaryen (daughter of Aegon III),PrincessSepta,0.0,Valyrian,147.0,,,,,House Targaryen,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,100.0,0.0,0,0.0,0.0735785953177257,0
1647,0,0,0.357,0.643,Balon Greyjoy,,1.0,,,,,Quellon Greyjoy,Theon Greyjoy,,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0,,0.26666666666666666,1,1.0,0.739130434782608,0
550,1,1,0.922,0.078,Griffin King,,1.0,First Men,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.020066889632107,1
247,1,0,0.201,0.799,Walda Rivers (daughter of Aemon),,0.0,,295.0,,,,,House Frey,,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,10.0,0.0,0,0.0,0.0267558528428093,1
394,1,1,0.702,0.298,Byren Flowers,Ser,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0066889632107023,1
1224,1,1,0.92,0.08,Megga Tyrell,,0.0,,286.0,,,,,House Tyrell,,0.0,0.0,1.0,1.0,1.0,,,,,0.0,0.0,19.0,0.0,0,0.0,0.153846153846153,1
716,0,0,0.427,0.573,Lucan,,1.0,,,299.0,,,,House Whent,,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0133779264214046,0
